setting,num_episodes,train_time,validity,proximity_cont,proximity_cat,sparsity,manifold,causality,time,air
01_0.99_256_0.001_0.2,20000,0,100.0,1.097,0.0,1.56,0.48,100.0,5.07,0.44
01_0.99_256_0.001_0.2,20000,32659.41,1.0,1.305,0.0,1.048,0.402,100.0,21.02,0.38
01_0.99_256_0.001_0.2,20000,47729.04,1.0,1.893,0.0,2.0,0.164,100.0,18.33,0.12
01_0.99_256_0.001_0.2,10000,0,100.0,1.052,0.0,2.0,0.179,100.0,29.87,0.17
01_0.99_256_0.001_0.2,10000,0,100.0,1.052,0.0,2.0,0.179,100.0,18.2,0.17
01_0.99_256_0.001_0.2,5000,0,99.0,1.094,0.0,2.0,0.363,100.0,18.65,0.16
01_0.99_256_0.001_0.2,5000,0,98.0,1.183,0.0,2.0,0.381,100.0,6.0,0.32
01_0.99_256_0.001_0.2,30000,0,98.0,1.183,0.0,2.0,0.38,100.0,5.77,0.32
01_0.99_256_0.001_0.2,25000,0,98.0,1.183,0.0,2.0,0.38,100.0,5.7,0.32
01_0.99_256_0.001_0.2,20000,0,99.0,1.188,0.0,2.0,0.271,100.0,5.21,0.99
01_0.99_256_0.001_0.2,30000,0,100.0,1.269,0.0,2.0,0.091,100.0,7.48,0.06
01_0.99_256_0.001_0.2,30000,0,100.0,1.269,0.0,2.0,0.091,100.0,8.28,0.06
01_0.99_256_0.001_0.2,30000,0,100.0,1.269,0.0,2.0,0.091,100.0,7.96,0.06
01_0.99_256_0.001_0.2,30000,0,100.0,1.269,0.0,2.0,0.091,100.0,9.83,0.06
01_0.99_256_0.001_0.2,30000,0,100.0,1.269,0.0,2.0,0.091,100.0,8.14,0.06
